Survey Year ,Nominal Index ,ZIDL Index,CV 
1977,2.573,2.421,0.483
1978,5.323,4.625,0.234
1979,,,
1980,,,
1981,1.149,0.814,0.453
1982,1.362,1.2,0.291
1983,0.901,1.015,0.344
1984,0.309,0.321,0.538
1985,0.398,0.339,0.419
1986,0.347,0.307,0.464
1987,,,
1988,1.119,1.132,0.323
1989,0.815,0.695,0.363
1990,0.332,0.335,0.345
1991,0.292,0.312,0.569
1992,0.513,0.43,0.343
1993,0.749,0.473,0.659
1994,0.764,0.528,0.339
1995,0.286,0.234,0.54
1996,1.356,0.775,0.492
1997,0.462,0.335,0.384
1998,0.171,0.112,0.535
1999,0.55,0.464,0.507
2000,0.315,0.236,0.514
2001,0.51,0.437,0.316
2002,0.285,0.244,0.62
2003,1.057,0.766,0.388
2004,0.984,0.502,0.674
2005,0.222,0.18,0.29
2006,0.619,0.496,0.352
2007,0.54,0.458,0.378
2008,0.349,0.324,0.378
2009,0.832,0.591,0.319
2010,0.493,0.337,0.513
2011,1.494,1.041,0.39
2012,0.388,0.282,0.472
2013,2.389,0.98626,0.34407
2014,0.464,0.26163,0.36953
2015,0.706,0.3888,0.30634
2016,3.238,2.46825,0.26416